id	ip	whitelist_id	site_name	site_id	Username	jira_ticket
67937	218.50.144.82/32	12425104	test.appdirect.com	1849389	NULL	NULL
67938	101.53.160.0/19	12425104	test.appdirect.com	1849389	NULL	NULL
67939	89.162.139.0/27	12425104	test.appdirect.com	1849389	NULL	NULL
67940	54.67.76.235/32	12425104	test.appdirect.com	1849389	NULL	NULL
67941	31.15.32.16/29	12425104	test.appdirect.com	1849389	NULL	NULL
67942	129.135.0.0/16	12425104	test.appdirect.com	1849389	NULL	NULL
67943	34.195.252.0/24	12425104	test.appdirect.com	1849389	NULL	NULL
67944	208.38.59.0/24	12425104	test.appdirect.com	1849389	NULL	NULL
67945	217.125.144.83/32	12425104	test.appdirect.com	1849389	NULL	NULL
67946	38.104.129.10/32	12425104	test.appdirect.com	1849389	NULL	NULL
67947	18.205.33.7/32	12425104	test.appdirect.com	1849389	NULL	NULL
67948	217.124.241.254/32	12425104	test.appdirect.com	1849389	NULL	NULL
67949	213.184.243.0/24	12425104	test.appdirect.com	1849389	NULL	NULL
67950	34.212.5.76/32	12425104	test.appdirect.com	1849389	NULL	NULL
67951	2.139.162.70/32	12425104	test.appdirect.com	1849389	NULL	NULL
67952	194.197.48.4/32	12425104	test.appdirect.com	1849389	NULL	NULL
67953	201.161.8.248/30	12425104	test.appdirect.com	1849389	NULL	NULL
67954	158.184.208.0/24	12425104	test.appdirect.com	1849389	NULL	NULL
67955	69.174.87.0/24	12425104	test.appdirect.com	1849389	NULL	NULL
67956	40.113.126.251/32	12425104	test.appdirect.com	1849389	NULL	NULL
67957	180.168.86.248/29	12425104	test.appdirect.com	1849389	NULL	NULL
